"samples","label"
"GSM972510","2"
"GSM972511","1"
"GSM972512","2"
"GSM972513","1"
"GSM972514","1"
"GSM972515","1"
"GSM972516","1"
"GSM972517","1"
"GSM972521","3"
"GSM877126","2"
"GSM877127","0"
"GSM877128","2"
"GSM877129","2"
"GSM877130","3"
"GSM877131","0"
"GSM877132","3"
"GSM877133","2"
"GSM877134","1"
"GSM877135","1"
"GSM877136","1"
"GSM877137","1"
"GSM877138","0"
"GSM877139","1"
"GSM877140","0"
"GSM877142","3"
"GSM877143","1"
"GSM877144","0"
"GSM877145","3"
"GSM877147","0"
"GSM877148","3"
"GSM877149","1"
"GSM877150","1"
"GSM877151","3"
"GSM877152","3"
"GSM877153","0"
"GSM877154","3"
"GSM877155","3"
"GSM877156","3"
"GSM877157","1"
"GSM877158","3"
"GSM877159","0"
"GSM877160","1"
"GSM877161","1"
"GSM877162","0"
"GSM877163","1"
"GSM877164","2"
"GSM877165","3"
"GSM877166","1"
"GSM877167","3"
"GSM877168","3"
"GSM877169","1"
"GSM877171","2"
"GSM877173","3"
"GSM877174","2"
"GSM877175","1"
"GSM877176","3"
"GSM877177","1"
"GSM877178","2"
"GSM877179","3"
"GSM877180","3"
"GSM877181","3"
"GSM877183","0"
"GSM877184","1"
"GSM877185","3"
"GSM877187","3"
"GSM877188","1"
"GSM102429","3"
"GSM102431","1"
"GSM102436","3"
"GSM102460","3"
"GSM102472","1"
"GSM102485","3"
"GSM102501","2"
"GSM102513","1"
"GSM102516","3"
"GSM102518","0"
"GSM102519","2"
"GSM102521","3"
"GSM102524","2"
"GSM102533","2"
"GSM102540","0"
"GSM102549","2"
"GSM102550","0"
"GSM102551","0"
"GSM102559","1"
"GSM102561","0"
"GSM102574","0"
"GSM102577","0"
"GSM102579","0"
"GSM102581","3"
"GSM117635","1"
"GSM117642","1"
"GSM117649","3"
"GSM117656","1"
"GSM117662","1"
"GSM117664","0"
"GSM117672","2"
"GSM117673","1"
"GSM117678","0"
"GSM117681","0"
"GSM117720","1"
"GSM117728","2"
"GSM117742","2"
"GSM117746","0"
"GSM117747","0"
"GSM117752","2"
"GSM117760","3"
"GSM117775","1"
"GSM137922","2"
"GSM137926","3"
"GSM137942","3"
"GSM137947","1"
"GSM137949","2"
"GSM137967","0"
"GSM137972","2"
"GSM137998","2"
"GSM138005","3"
"GSM138007","1"
"GSM138015","3"
"GSM138018","1"
"GSM138022","1"
"GSM138032","1"
"GSM138036","1"
"GSM138037","0"
"GSM138042","3"
"GSM138044","1"
"GSM138048","0"
"GSM138050","2"
"GSM152579","3"
"GSM152582","3"
"GSM152591","0"
"GSM152602","1"
"GSM152610","3"
"GSM152613","3"
"GSM152614","1"
"GSM152632","2"
"GSM152658","1"
"GSM152664","1"
"GSM152666","1"
"GSM152684","3"
"GSM152692","1"
"GSM152695","2"
"GSM152720","0"
"GSM152725","1"
"GSM152730","3"
"GSM152762","2"
"GSM152780","1"
"GSM152790","1"
"GSM152799","1"
"GSM179778","3"
"GSM179793","3"
"GSM179795","2"
"GSM179803","3"
"GSM179804","1"
"GSM179805","0"
"GSM179820","2"
"GSM179831","2"
"GSM179838","1"
"GSM179839","1"
"GSM179860","1"
"GSM179867","1"
"GSM179880","3"
"GSM179882","1"
"GSM179887","1"
"GSM179888","0"
"GSM179889","1"
"GSM179897","1"
"GSM179899","1"
"GSM179908","3"
"GSM179922","3"
"GSM179924","3"
"GSM179925","1"
"GSM179928","3"
"GSM179930","3"
"GSM179937","1"
"GSM179948","1"
"GSM203625","3"
"GSM203627","2"
"GSM203640","1"
"GSM203642","3"
"GSM203645","1"
"GSM203653","3"
"GSM203657","1"
"GSM203667","1"
"GSM203673","0"
"GSM203674","3"
"GSM203684","3"
"GSM203687","2"
"GSM203688","3"
"GSM203700","0"
"GSM203702","3"
"GSM203705","3"
"GSM203723","1"
"GSM203724","3"
"GSM203728","3"
"GSM203731","1"
"GSM203733","1"
"GSM203743","3"
"GSM203755","0"
"GSM203763","3"
"GSM203782","0"
"GSM203800","1"
"GSM231875","3"
"GSM231879","1"
"GSM231904","1"
"GSM231905","0"
"GSM231908","3"
"GSM231915","1"
"GSM231921","0"
"GSM231928","0"
"GSM231936","3"
"GSM231939","3"
"GSM231953","2"
"GSM231955","3"
"GSM231956","0"
"GSM231958","1"
"GSM231959","1"
"GSM231961","0"
"GSM231971","1"
"GSM231988","0"
"GSM277680","0"
"GSM277689","1"
"GSM277690","1"
"GSM277728","0"
"GSM277731","0"
"GSM301656","0"
"GSM325806","1"
"GSM325829","3"
"GSM325840","3"
"GSM353883","3"
"GSM353890","1"
"GSM353901","1"
"GSM353939","3"
"GSM38055","3"
"GSM38061","3"
"GSM38075","1"
"GSM38077","1"
"GSM38078","3"
"GSM38089","3"
"GSM38098","3"
"GSM46832","2"
"GSM46841","3"
"GSM46857","0"
"GSM46861","3"
"GSM46864","2"
"GSM46865","1"
"GSM46877","3"
"GSM46878","0"
"GSM46887","3"
"GSM46895","3"
"GSM46915","3"
"GSM46921","0"
"GSM46924","2"
"GSM46930","1"
"GSM46931","1"
"GSM46940","1"
"GSM46956","1"
"GSM53045","2"
"GSM53047","0"
"GSM53051","3"
"GSM53055","1"
"GSM53070","0"
"GSM53073","3"
"GSM53083","0"
"GSM53106","0"
"GSM53113","1"
"GSM53126","3"
"GSM53142","3"
"GSM53146","3"
"GSM53148","2"
"GSM53153","2"
"GSM53156","1"
"GSM53169","1"
"GSM76501","1"
"GSM76519","1"
"GSM76520","0"
"GSM76522","2"
"GSM76524","3"
"GSM76526","2"
"GSM76529","2"
"GSM76530","0"
"GSM76531","3"
"GSM76548","0"
"GSM76573","1"
"GSM76576","1"
"GSM76583","1"
"GSM76598","2"
"GSM76605","1"
"GSM76607","2"
"GSM76608","0"
"GSM76610","0"
"GSM76611","0"
"GSM76615","3"
"GSM76618","1"
"GSM76629","1"
"GSM76639","3"
"GSM88945","1"
"GSM88963","1"
"GSM88968","1"
"GSM88994","1"
"GSM88999","1"
"GSM89002","3"
"GSM89004","1"
"GSM89007","1"
"GSM89026","1"
"GSM89037","1"
"GSM89040","3"
"GSM89044","3"
"GSM89047","1"
"GSM89049","1"
"GSM89052","2"
"GSM89053","0"
"GSM89061","1"
"GSM89062","1"
"GSM89069","1"
"GSM89090","1"
"GSM89098","1"
"GSM89103","3"
"GSM335510","1"
"GSM335511","2"
"GSM335512","3"
"GSM335513","1"
"GSM335514","3"
"GSM335515","3"
"GSM335516","1"
"GSM335517","1"
"GSM335518","0"
"GSM335519","3"
"GSM335520","3"
"GSM335522","1"
"GSM335523","2"
"GSM335524","3"
"GSM335526","1"
"GSM335527","3"
"GSM335528","2"
"GSM335529","2"
"GSM335530","0"
"GSM335531","1"
"GSM335532","0"
"GSM335533","3"
"GSM335534","1"
"GSM335535","3"
"GSM335536","1"
"GSM335537","1"
"GSM335538","3"
"GSM335539","3"
"GSM335540","1"
"GSM335542","0"
"GSM335543","3"
"GSM335544","0"
"GSM335545","3"
"GSM335547","1"
"GSM335548","1"
"GSM335549","1"
"GSM335550","2"
"GSM335552","3"
"GSM335553","1"
"GSM335554","1"
"GSM335555","0"
"GSM335556","1"
"GSM335557","1"
"GSM335558","1"
"GSM335559","0"
"GSM335560","0"
"GSM335561","1"
"GSM335562","0"
"GSM335563","3"
"GSM335564","3"
"GSM335565","0"
"GSM335566","0"
"GSM335567","1"
"GSM335568","1"
"GSM335569","1"
"GSM335570","2"
"GSM335571","1"
"GSM335572","2"
"GSM335573","1"
"GSM335574","0"
"GSM335575","3"
"GSM335576","0"
"GSM335577","0"
"GSM335579","2"
"GSM335580","3"
"GSM335581","2"
"GSM335582","1"
"GSM335583","1"
"GSM335584","1"
"GSM335585","0"
"GSM335586","2"
"GSM335588","3"
"GSM335589","1"
"GSM335590","3"
"GSM335591","1"
"GSM335592","1"
"GSM335593","1"
"GSM335594","1"
"GSM335595","0"
"GSM335596","1"
"GSM335597","2"
"GSM335598","1"
"GSM335600","1"
"GSM335601","1"
"GSM335602","1"
"GSM335603","1"
"GSM335605","1"
"GSM335606","3"
"GSM335607","2"
"GSM335608","3"
"GSM335610","1"
"GSM335611","2"
"GSM335612","1"
"GSM335613","1"
"GSM335614","0"
"GSM335615","1"
"GSM335616","1"
"GSM335617","3"
"GSM335618","1"
"GSM335619","0"
"GSM335620","3"
"GSM335621","0"
"GSM335622","0"
"GSM335623","0"
"GSM335624","2"
"GSM335625","1"
"GSM335627","2"
"GSM335629","3"
"GSM335630","0"
"GSM335631","1"
"GSM335632","2"
"GSM335633","3"
"GSM335634","0"
"GSM335635","0"
"GSM335636","1"
"GSM335637","3"
"GSM335639","2"
"GSM335640","0"
"GSM335641","0"
"GSM335643","0"
"GSM335644","0"
"GSM335645","0"
"GSM335646","2"
"GSM335648","1"
"GSM335649","0"
"GSM335650","0"
"GSM335651","1"
"GSM335652","0"
"GSM335653","0"
"GSM335654","3"
"GSM335655","0"
"GSM335656","0"
"GSM335657","0"
"GSM335658","3"
"GSM335659","0"
"GSM335660","3"
"GSM335661","1"
"GSM335662","0"
"GSM335663","0"
"GSM335664","3"
"GSM588828","1"
"GSM588829","1"
"GSM588830","1"
"GSM588831","2"
"GSM588832","2"
"GSM588833","2"
"GSM588835","1"
"GSM588837","1"
"GSM588838","1"
"GSM588839","1"
"GSM588840","1"
"GSM588843","1"
"GSM588845","1"
"GSM588846","3"
"GSM588847","3"
"GSM588848","3"
"GSM588849","1"
"GSM588850","1"
"GSM588851","0"
"GSM588853","1"
"GSM588855","3"
"GSM588857","1"
"GSM588860","1"
"GSM588862","1"
"GSM437093","1"
"GSM437094","2"
"GSM437095","1"
"GSM437096","2"
"GSM437099","2"
"GSM437100","1"
"GSM437101","1"
"GSM437102","3"
"GSM437103","1"
"GSM437104","2"
"GSM437105","2"
"GSM437106","1"
"GSM437107","2"
"GSM437108","2"
"GSM437110","2"
"GSM437111","3"
"GSM437112","1"
"GSM437113","1"
"GSM437114","1"
"GSM437115","1"
"GSM437117","1"
"GSM437118","0"
"GSM437119","3"
"GSM437120","1"
"GSM437122","1"
"GSM437123","1"
"GSM437124","3"
"GSM437125","0"
"GSM437126","0"
"GSM437128","2"
"GSM437129","1"
"GSM437130","0"
"GSM437131","1"
"GSM437132","1"
"GSM437133","0"
"GSM437134","3"
"GSM437135","3"
"GSM437136","1"
"GSM437137","1"
"GSM437138","0"
"GSM437139","1"
"GSM437140","1"
"GSM437141","1"
"GSM437143","0"
"GSM437144","3"
"GSM437145","0"
"GSM437146","2"
"GSM437147","0"
"GSM437148","0"
"GSM437149","0"
"GSM437150","2"
"GSM437151","1"
"GSM437152","3"
"GSM437153","1"
"GSM437155","3"
"GSM437156","0"
"GSM437157","3"
"GSM437158","2"
"GSM437159","1"
"GSM437160","2"
"GSM437161","3"
"GSM437162","1"
"GSM437163","3"
"GSM437164","1"
"GSM437165","1"
"GSM437166","3"
"GSM437167","0"
"GSM437168","1"
"GSM437169","1"
"GSM437170","1"
"GSM437171","0"
"GSM437172","1"
"GSM437173","3"
"GSM437174","0"
"GSM437175","3"
"GSM437176","0"
"GSM437177","1"
"GSM437178","0"
"GSM437179","1"
"GSM437181","3"
"GSM437182","3"
"GSM437183","1"
"GSM437184","0"
"GSM437185","1"
"GSM437186","2"
"GSM437188","1"
"GSM437189","3"
"GSM437190","3"
"GSM437191","1"
"GSM437192","1"
"GSM437193","2"
"GSM437194","1"
"GSM437196","0"
"GSM437197","0"
"GSM437198","3"
"GSM437199","3"
"GSM437200","3"
"GSM437201","3"
"GSM437202","0"
"GSM437203","0"
"GSM437204","3"
"GSM437205","3"
"GSM437206","1"
"GSM437208","1"
"GSM437209","0"
"GSM437210","0"
"GSM437211","0"
"GSM437212","0"
"GSM437213","1"
"GSM437214","1"
"GSM437216","1"
"GSM437217","1"
"GSM437219","1"
"GSM437220","0"
"GSM437221","1"
"GSM437222","3"
"GSM437223","0"
"GSM437224","0"
"GSM437225","0"
"GSM437226","3"
"GSM437228","1"
"GSM437229","3"
"GSM437230","1"
"GSM437231","1"
"GSM437232","2"
"GSM437233","3"
"GSM437234","3"
"GSM437235","3"
"GSM437237","1"
"GSM437239","3"
"GSM437240","1"
"GSM437241","1"
"GSM437243","3"
"GSM437244","1"
"GSM437245","3"
"GSM437246","1"
"GSM437247","1"
"GSM437248","1"
"GSM437249","1"
"GSM437250","3"
"GSM437251","3"
"GSM437252","1"
"GSM437253","2"
"GSM437255","2"
"GSM437257","3"
"GSM437258","2"
"GSM437259","1"
"GSM437261","1"
"GSM437262","3"
"GSM437263","3"
"GSM437264","1"
"GSM437265","3"
"GSM437266","2"
"GSM437267","0"
"GSM437268","1"
"GSM437269","1"
"GSM358342","3"
"GSM358343","1"
"GSM358344","1"
"GSM358354","2"
"GSM358355","2"
"GSM358357","2"
"GSM358359","3"
"GSM358362","2"
"GSM358363","1"
"GSM358364","3"
"GSM358369","2"
"GSM358371","1"
"GSM358372","1"
"GSM358373","1"
"GSM358374","2"
"GSM358375","1"
"GSM358376","0"
"GSM358377","0"
"GSM358378","1"
"GSM358379","1"
"GSM358380","1"
"GSM358381","2"
"GSM358382","1"
"GSM358384","3"
"GSM358386","3"
"GSM358389","3"
"GSM358390","1"
"GSM358394","3"
"GSM358395","0"
"GSM358399","0"
"GSM358402","1"
"GSM358403","1"
"GSM358407","1"
"GSM358409","3"
"GSM358413","3"
"GSM358416","3"
"GSM358422","0"
"GSM358428","2"
"GSM358439","1"
"GSM358442","0"
"GSM358443","1"
"GSM358444","1"
"GSM358445","2"
"GSM358447","0"
"GSM358448","1"
"GSM358449","1"
"GSM358451","2"
"GSM358452","2"
"GSM358454","0"
"GSM358455","2"
"GSM358456","1"
"GSM358457","0"
"GSM358458","0"
"GSM358459","2"
"GSM358460","1"
"GSM358461","1"
"GSM358462","3"
"GSM358463","0"
"GSM358464","2"
"GSM358465","1"
"GSM358466","1"
"GSM358467","3"
"GSM358469","2"
"GSM358471","1"
"GSM358472","3"
"GSM358473","2"
"GSM358474","1"
"GSM358475","3"
"GSM358476","1"
"GSM358477","0"
"GSM358478","3"
"GSM358480","0"
"GSM358486","2"
"GSM358490","1"
"GSM358492","3"
"GSM358502","0"
"GSM358512","0"
"GSM358513","3"
"GSM358514","3"
"GSM358526","3"
"GSM358527","0"
"GSM358530","3"
"GSM358532","3"
"GSM358533","1"
"GSM358535","3"
"GSM358540","1"
"GSM358541","3"
"GSM358542","1"
"GSM358543","2"
"GSM358544","1"
"GSM358545","2"
"GSM358547","1"
"GSM358548","0"
"GSM358549","1"
"GSM358550","1"
"GSM358551","0"
"GSM358552","1"
"GSM358553","3"
"GSM358554","0"
"GSM358556","1"
"GSM358557","1"
"GSM358559","0"
"GSM358560","1"
"GSM358561","1"
"GSM358562","1"
"GSM358564","2"
"GSM358565","1"
"GSM358566","1"
"GSM358567","3"
"GSM358570","3"
"GSM358573","3"
"GSM358575","3"
"GSM358582","3"
"GSM358591","3"
"GSM358599","2"
"GSM358600","1"
"GSM358608","0"
"GSM358611","3"
"GSM358612","1"
"GSM358613","1"
"GSM358615","1"
"GSM358616","1"
"GSM358617","1"
"GSM358618","1"
"GSM358619","1"
"GSM358620","2"
"GSM358621","3"
"GSM358622","2"
"GSM358623","1"
"GSM358624","1"
"GSM358625","3"
"GSM358627","0"
"GSM358628","3"
"GSM358629","1"
"GSM358630","3"
